subjectLabel, subjectID, subjectLanguage, subjectPeriod, relation, objectLabel, objectID, objectLanguage, objectPeriod
Maṣḥafa falāsfā ṭabibān (general record),LIT1925Mashaf#t1, gez,Paks2, saws:isVersionInAnotherLanguageOf, Kitāb al-bustān wa-qāʿidat al-ḥukamāʾ wa-šams al-ʾādāb,LIT1925Mashaf#t2arabic, at,Paks2
Greek Version of Enoch,LIT1340EnochE#t5greek, Not available, Not available, saws:isVersionInAnotherLanguageOf, Aramaic Version of Enoch,LIT1340EnochE#t4aramaic, Not available,
Maṣḥafa Henok,LIT1340EnochE#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Greek Version of Enoch,LIT1340EnochE#t5greek, Not available,
Dǝrsāna Māryām,LIT1293Dersan#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1293Dersan#t4arabic, ar,
Maṣḥafa qandil,LIT1958Mashaf#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Qandīl,LIT1958Mashaf#t2arabic, ar,
Qandīl,LIT1958Mashaf#t2arabic, ar, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1958Mashaf#t3greek, grc,
Arabic Vision of Paul,LIT1124Apocal#t4arabic, ar, Not available, saws:isVersionInAnotherLanguageOf,CANT 325,LIT1124Apocal#t3greek, grc,
Rāʾǝya [ʾǝgzǝʾǝtǝna] Māryām,LIT1124Apocal#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Arabic Vision of Paul,LIT1124Apocal#t4arabic, ar,
Amharic Vision of Mary,LIT1124Apocal#t5amharic, am, Not available, saws:isVersionInAnotherLanguageOf, Rāʾǝya [ʾǝgzǝʾǝtǝna] Māryām,LIT1124Apocal#t1, gez,
ʾAksimāros,LIT1046Aksima#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, ʾAksīmāris,LIT1046Aksima#t2arabic, ar,
Hāymānota ʾabaw,LIT1586Hayman#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Iʿtirāf al-ʾābāʾ,LIT1586Hayman#t2arabic, ar,
Arabic Questions to Antiochus,LIT1914Mashaf#t4arabic, ar, Not available, saws:isVersionInAnotherLanguageOf,CPG 2257,LIT1914Mashaf#t3greek, grc,
Maṣḥafa ʾAntǝyākos,LIT1914Mashaf#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Arabic Questions to Antiochus,LIT1914Mashaf#t4arabic, ar,
Dǝrsān baʾǝnta ʾǝlla nomu kāhǝnāt wa-diyāqonāt,LIT1629Homily#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Consolation for priests,LIT1629Homily#t2syriac, syr,
Greek Book of Jubilees,LIT1697Jubilees#t3greek, grc, Not available, saws:isVersionInAnotherLanguageOf, Hebrew Book of Jubilees,LIT1697Jubilees#t2hebrew, he,
Maṣḥafa kufāle,LIT1697Jubilees#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Greek Book of Jubilees,LIT1697Jubilees#t3greek, grc,
Latin Book of Jubilees,LIT1697Jubilees#t4latin, la, Not available, saws:isVersionInAnotherLanguageOf, Greek Book of Jubilees,LIT1697Jubilees#t3greek, grc,
ʾAnkariṭos,LIT1107Ankari#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Not available,LIT1107Ankari#t4greek, grc,
Maṣḥafa ḥāwi,LIT1933Mashaf#t1, gez,Paks2, saws:isVersionInAnotherLanguageOf, Kitāb al-ḥāwi,LIT1933Mashaf#t2arabic, ar,Paks2
Kitāb al-ḥāwi,LIT1933Mashaf#t2arabic, ar,Paks2, saws:isVersionInAnotherLanguageOf, Πανδέκται τῶν ἑρμηνείον τῶν θείον ἐντολῶν τοῦ Κυρίου,LIT1933Mashaf#t3greek, grc,Paks2
Physiologus,LIT1401Physio#t1, gez, Aks, saws:isVersionInAnotherLanguageOf, Ὁ φυσιολόγος,LIT1401Physio#t3greek, grc, Aks
Ṭǝbaba Sābelā,LIT2353SibylW#t1, gez, Not available, saws:isVersionInAnotherLanguageOf, Arabic Wisdom of Sibyl,LIT2353SibylW#t2arabic, ar,
	سيرة سكندس الحكيم وحكمته ومسائله على تمامها وكمالها,LIT2625ZenaSe#t3arabic, ar,Paks1, saws:isVersionInAnotherLanguageOf, Greek Secundus,LIT2625ZenaSe#t2greek, grc,Paks1
The story of Secundus King Hadrian's sage and of his teachings his wisdom and his dialogue,LIT2625ZenaSe#t1, gez,Paks1, saws:isVersionInAnotherLanguageOf, Not available,LIT2625ZenaSe#t3arabic LIT2625ZenaSe#t4syr, ar,Paks1
Gadla ʾEwosṭātewos,LIT4321GadlaEC, gez, Not available, saws:isVersionOf, Gadla ʾEwosṭātewos,LIT1438GadlaE, gez,
Hāymānotu la-qǝddus ʿābiyy māri Yāʿqob ʾƎlbarādʿi,LIT4010Haymanotu#t1, gez,Paks1 Paks2, saws:isVersionInAnotherLanguageOf, Arabic Creed of Jacob Baradaeus,LIT4010Haymanotu#t2arabic, ar,Paks1 Paks2
Dǝrsān za-bǝṣuʿ Fisālgos,LIT4915PhysA, gez, Not available, saws:isVersionOf, Physiologus (general record),LIT1401Physio, gez, Aks
Gadla ʾEwosṭātewos,LIT4319GadlaEA, gez, Not available, saws:isVersionOf, Gadla ʾEwosṭātewos,LIT1438GadlaE, gez,
ታሪከ፡ ወልደ፡ ዐሚድ፡,LIT4723TarikaWaldaAmid#t1, gez,Paks2, saws:isVersionInAnotherLanguageOf, المجمع المبارك,LIT4723TarikaWaldaAmid#t2, ar,Paks2
Gadla ʾEwosṭātewos,LIT4320GadlaEB, gez, Not available, saws:isVersionOf, Gadla ʾEwosṭātewos,LIT1438GadlaE, gez,
Maṣḥafa faws manfasāwi                (Anonymous),LIT4018Mashafa#t1, gez,Paks1 Paks2, saws:isVersionOf, Arabic Vorlage,LIT4018Mashafa#t2arabic, ar,Paks1 Paks2
