SubjectID, relation, ObjectID
LIT4090Haylu#t2, saws:isVersionInAnotherLanguageOf, LIT4090Haylu#t1
LIT4833ShortChroniclesQor, saws:isVersionOf, LIT2352ShortC
LIT4851greekRoyal, saws:isVersionInAnotherLanguageOf, LIT4850pseudotrilingual
LIT4915PhysA, saws:isVersionOf, LIT1401Physio
LIT4017Mashafa#t1, saws:isVersionInAnotherLanguageOf, LIT4017Mashafa#t2arabic
LIT4917PhysC, saws:isVersionOf, LIT1401Physio
LIT4916PhysB, saws:isVersionOf, LIT1401Physio
LIT4850pseudotrilingual, saws:isVersionInAnotherLanguageOf, LIT4851greekRoyal
LIT2231Saatat, saws:isVersionOf, LIT1961Mashaf
LIT2616Zenaes#t1, saws:isVersionInAnotherLanguageOf, LIT2616Zenaes#t4arabic
LIT2230Saatat, saws:isVersionOf, LIT1961Mashaf
LIT2230Saatat, saws:isVersionInAnotherLanguageOf, LIT3570Agbiya
LIT2282Trinity, saws:isVersionOf, LIT2388Taamme
LIT2286ZenaSellase, saws:isVersionOf, LIT2388Taamme
LIT2286ZenaSellase, saws:isVersionOf, LIT2388Taamme
